,amount,user_id_mapping,user_seg,user_subseg
3716,22,3716,vip,vip
9826,20,9826,vip,vip
5224,19,5224,vip,vip
2644,19,2644,vip,vip
315,18,315,vip,vip
38479,17,38479,vip,vip
19003,17,19003,vip,vip
30357,16,30357,vip,vip
13206,16,13206,vip,vip
17714,16,17714,vip,vip
9241,15,9241,vip,vip
17087,15,17087,vip,vip
19091,15,19091,vip,vip
27784,15,27784,vip,vip
27010,15,27010,vip,vip
8225,15,8225,vip,vip
42860,15,42860,vip,vip
4603,15,4603,vip,vip
4480,15,4480,vip,vip
26373,14,26373,vip,vip
19887,14,19887,vip,vip
8544,14,8544,vip,vip
2378,14,2378,vip,vip
16858,14,16858,vip,vip
16536,14,16536,vip,vip
21218,14,21218,vip,vip
16082,14,16082,vip,vip
4490,14,4490,vip,vip
8079,14,8079,vip,vip
48266,14,48266,vip,vip
15853,14,15853,vip,vip
25724,14,25724,vip,vip
18250,14,18250,vip,vip
12667,14,12667,vip,vip
9321,14,9321,vip,vip
58950,14,58950,vip,vip
21391,13,21391,vip,vip
20046,13,20046,vip,vip
6985,13,6985,vip,vip
39179,13,39179,vip,vip
17069,13,17069,vip,vip
15339,13,15339,vip,vip
15619,13,15619,vip,vip
548,13,548,vip,vip
23932,13,23932,vip,vip
12808,13,12808,vip,vip
5857,13,5857,vip,vip
3146,13,3146,vip,vip
23972,13,23972,vip,vip
9835,13,9835,vip,vip
15542,13,15542,vip,vip
30101,13,30101,vip,vip
11175,13,11175,vip,vip
18061,13,18061,vip,vip
19768,13,19768,vip,vip
5529,13,5529,vip,vip
7524,13,7524,vip,vip
13577,13,13577,vip,vip
30237,13,30237,vip,vip
27849,13,27849,vip,vip
5297,13,5297,vip,vip
14596,13,14596,vip,vip
30279,13,30279,vip,vip
10873,13,10873,vip,vip
227,13,227,vip,vip
54849,13,54849,vip,vip
337,13,337,vip,vip
32234,13,32234,vip,vip
38762,13,38762,vip,vip
9611,13,9611,vip,vip
14679,13,14679,vip,vip
7710,13,7710,vip,vip
18611,13,18611,vip,vip
30079,13,30079,vip,vip
12241,13,12241,vip,vip
9159,13,9159,vip,vip
64133,13,64133,vip,vip
2438,13,2438,vip,vip
46468,13,46468,vip,vip
1147,12,1147,vip,vip
7678,12,7678,vip,vip
17746,12,17746,vip,vip
2411,12,2411,vip,vip
9887,12,9887,vip,vip
9098,12,9098,vip,vip
1738,12,1738,vip,vip
3448,12,3448,vip,vip
18008,12,18008,vip,vip
20607,12,20607,vip,vip
12082,12,12082,vip,vip
5717,12,5717,vip,vip
7682,12,7682,vip,vip
45177,12,45177,vip,vip
33452,12,33452,vip,vip
11769,12,11769,vip,vip
5668,12,5668,vip,vip
24057,12,24057,vip,vip
44012,12,44012,vip,vip
25171,12,25171,vip,vip
4687,12,4687,vip,vip
8052,12,8052,vip,vip
18977,12,18977,vip,vip
28535,12,28535,vip,vip
36721,12,36721,vip,vip
34385,12,34385,vip,vip
2975,12,2975,vip,vip
9465,12,9465,vip,vip
18505,12,18505,vip,vip
3332,12,3332,vip,vip
23963,12,23963,vip,vip
14905,12,14905,vip,vip
53007,12,53007,vip,vip
33106,12,33106,vip,vip
36223,12,36223,vip,vip
19990,12,19990,vip,vip
23787,12,23787,vip,vip
10136,12,10136,vip,vip
4411,12,4411,vip,vip
2252,12,2252,vip,vip
42675,12,42675,vip,vip
17901,12,17901,vip,vip
1322,12,1322,vip,vip
52119,12,52119,vip,vip
34389,12,34389,vip,vip
35186,12,35186,vip,vip
2614,12,2614,vip,vip
2720,12,2720,vip,vip
8306,12,8306,vip,vip
21316,12,21316,vip,vip
37683,12,37683,vip,vip
42849,12,42849,vip,vip
15895,12,15895,vip,vip
21826,12,21826,vip,vip
10962,12,10962,vip,vip
3250,12,3250,vip,vip
47928,12,47928,vip,vip
11302,12,11302,vip,vip
13039,12,13039,vip,vip
14147,12,14147,vip,vip
18641,12,18641,vip,vip
48204,12,48204,vip,vip
13762,12,13762,vip,vip
8344,12,8344,vip,vip
3100,12,3100,vip,vip
20611,12,20611,vip,vip
37703,12,37703,vip,vip
208,11,208,vip,vip
39096,11,39096,vip,vip
1201,11,1201,vip,vip
29931,11,29931,vip,vip
1870,11,1870,vip,vip
16512,11,16512,vip,vip
9268,11,9268,vip,vip
42799,11,42799,vip,vip
10355,11,10355,vip,vip
55667,11,55667,vip,vip
25196,11,25196,vip,vip
14251,11,14251,vip,vip
30568,11,30568,vip,vip
43311,11,43311,vip,vip
39143,11,39143,vip,vip
42162,11,42162,vip,vip
19918,11,19918,vip,vip
18282,11,18282,vip,vip
26355,11,26355,vip,vip
15399,11,15399,vip,vip
37726,11,37726,vip,vip
23271,11,23271,vip,vip
23125,11,23125,vip,vip
427,11,427,vip,vip
39815,11,39815,vip,vip
15972,11,15972,vip,vip
21480,11,21480,vip,vip
44897,11,44897,vip,vip
6254,11,6254,vip,vip
29605,11,29605,vip,vip
7087,11,7087,vip,vip
15512,11,15512,vip,vip
13481,11,13481,vip,vip
4034,11,4034,vip,vip
10847,11,10847,vip,vip
28052,11,28052,vip,vip
4933,11,4933,vip,vip
15102,11,15102,vip,vip
21640,11,21640,vip,vip
29983,11,29983,vip,vip
6029,11,6029,vip,vip
32544,11,32544,vip,vip
47628,11,47628,vip,vip
11104,11,11104,vip,vip
9043,11,9043,vip,vip
40766,11,40766,vip,vip
16297,11,16297,vip,vip
12467,11,12467,vip,vip
14337,11,14337,vip,vip
26901,11,26901,vip,vip
19077,11,19077,vip,vip
24878,11,24878,vip,vip
25507,11,25507,vip,vip
14135,11,14135,vip,vip
16697,11,16697,vip,vip
69119,11,69119,vip,vip
44213,11,44213,vip,vip
25581,11,25581,vip,vip
14590,11,14590,vip,vip
63130,11,63130,vip,vip
26272,11,26272,vip,vip
6501,11,6501,vip,vip
13613,11,13613,vip,vip
18796,11,18796,vip,vip
19716,11,19716,vip,vip
18788,11,18788,vip,vip
30329,11,30329,vip,vip
43357,11,43357,vip,vip
26397,11,26397,vip,vip
5522,11,5522,vip,vip
40418,11,40418,vip,vip
33723,11,33723,vip,vip
46392,11,46392,vip,vip
16947,11,16947,vip,vip
20274,11,20274,vip,vip
11259,11,11259,vip,vip
2456,11,2456,vip,vip
495,11,495,vip,vip
11893,11,11893,vip,vip
5938,11,5938,vip,vip
22191,11,22191,vip,vip
39358,11,39358,vip,vip
21088,11,21088,vip,vip
21726,11,21726,vip,vip
57310,11,57310,vip,vip
9618,11,9618,vip,vip
11485,11,11485,vip,vip
4510,11,4510,vip,vip
26521,11,26521,vip,vip
16662,11,16662,vip,vip
32461,11,32461,vip,vip
19459,11,19459,vip,vip
8568,11,8568,vip,vip
13944,11,13944,vip,vip
16786,11,16786,vip,vip
2985,11,2985,vip,vip
43138,11,43138,vip,vip
23734,11,23734,vip,vip
53784,11,53784,vip,vip
4375,11,4375,vip,vip
37474,11,37474,vip,vip
26353,11,26353,vip,vip
13135,11,13135,vip,vip
48870,11,48870,vip,vip
48805,11,48805,vip,vip
44792,11,44792,vip,vip
32666,11,32666,vip,vip
21120,11,21120,vip,vip
10295,11,10295,vip,vip
3569,11,3569,vip,vip
541,11,541,vip,vip
15251,11,15251,vip,vip
5092,11,5092,vip,vip
9757,11,9757,vip,vip
59244,11,59244,vip,vip
10362,11,10362,vip,vip
6729,11,6729,vip,vip
7639,11,7639,vip,vip
43455,11,43455,vip,vip
34804,11,34804,vip,vip
10163,11,10163,vip,vip
21228,11,21228,vip,vip
22710,11,22710,vip,vip
3182,11,3182,vip,vip
21421,11,21421,vip,vip
40715,11,40715,vip,vip
349,11,349,vip,vip
17061,11,17061,vip,vip
46664,11,46664,vip,vip
875,11,875,vip,vip
44749,11,44749,vip,vip
20054,11,20054,vip,vip
62043,11,62043,vip,vip
16245,11,16245,vip,vip
9815,11,9815,vip,vip
15750,11,15750,vip,vip
39863,11,39863,vip,vip
18481,11,18481,vip,vip
47059,11,47059,vip,vip
1546,11,1546,vip,vip
15563,11,15563,vip,vip
34909,11,34909,vip,vip
24732,11,24732,vip,vip
26456,11,26456,vip,vip
16902,11,16902,vip,vip
31873,11,31873,vip,vip
11980,11,11980,vip,vip
300,10,300,vip,vip
313,10,313,vip,vip
17212,10,17212,vip,vip
28259,10,28259,vip,vip
15319,10,15319,vip,vip
15006,10,15006,vip,vip
10802,10,10802,vip,vip
46107,10,46107,vip,vip
32446,10,32446,vip,vip
43991,10,43991,vip,vip
20876,10,20876,vip,vip
360,10,360,vip,vip
22746,10,22746,vip,vip
61882,10,61882,vip,vip
39276,10,39276,vip,vip
26054,10,26054,vip,vip
28498,10,28498,vip,vip
1463,10,1463,vip,vip
33547,10,33547,vip,vip
20145,10,20145,vip,vip
2971,10,2971,vip,vip
19451,10,19451,vip,vip
43743,10,43743,vip,vip
2115,10,2115,vip,vip
14683,10,14683,vip,vip
27788,10,27788,vip,vip
32300,10,32300,vip,vip
19617,10,19617,vip,vip
33604,10,33604,vip,vip
41209,10,41209,vip,vip
10108,10,10108,vip,vip
5990,10,5990,vip,vip
18821,10,18821,vip,vip
23350,10,23350,vip,vip
39547,10,39547,vip,vip
10026,10,10026,vip,vip
26190,10,26190,vip,vip
54632,10,54632,vip,vip
41057,10,41057,vip,vip
2042,10,2042,vip,vip
35065,10,35065,vip,vip
34866,10,34866,vip,vip
1387,10,1387,vip,vip
38376,10,38376,vip,vip
18891,10,18891,vip,vip
459,10,459,vip,vip
11717,10,11717,vip,vip
37183,10,37183,vip,vip
5217,10,5217,vip,vip
2841,10,2841,vip,vip
9696,10,9696,vip,vip
11318,10,11318,vip,vip
18268,10,18268,vip,vip
58082,10,58082,vip,vip
6286,10,6286,vip,vip
